Row Labels,Top 100 Singles,Highest Position
Wham,8,1
Teddy Pendergrass,8,25
Trisha Yearwood,8,23
Will Smith,8,1
Sylvers,8,1
Wale,8,21
Talking Heads,8,9
Willie Nelson,10,5
Trick Daddy,8,7
Wang Chung,8,2
Whitesnake,8,1
Sweet Sensation,8,1
Tower of Power,8,17
Tracie Spencer,8,3
Stan Freberg,8,16
Rob Thomas,8,6
The Ronettes,8,2
Rodney Atkins,8,23
Spice Girls,8,1
Sister Sledge,8,2
Ray Parker Jr.,8,1
Skeeter Davis,8,2
Shedaisy,8,43
Reba,8,31
Seal,8,7
Smashing Pumpkins,8,12
Roger Daltrey,8,20
Ruby & The Romantics,8,1
Richard Chamberlain,8,10
Rufus featuring Chaka Khan,12,3
Robert Plant,8,20
Rush,8,21
My Chemical Romance,8,9
PM Dawn,8,1
Natasha Bedingfield,8,5
Millie Jackson,8,24
New Birth,8,35
Paul McCartney & Wings,8,1
No Doubt,8,3
Mitch Ryder & The Detroit Wheels,8,4
Peter Frampton,8,2
Mickey & Sylvia,8,11
Montell Jordan,8,2
Outfield,8,6
Nine Inch Nails,8,17
Laura Lee,8,36
Mark Lindsay,8,10
Mario,8,1
Martha Reeves & The Vandellas,8,11
Jon Secada,8,5
Les Paul & Mary Ford,8,7
Kenny Rogers & The First Edition,8,6
Little Richard & His Band,8,6
Juvenile,8,1
matchbox twenty,8,1
Leon Haywood,8,15
Harry Belafonte,8,5
Hot Chocolate,8,3
Irene Cara,8,1
Joe Diffie,8,38
Jaheim,8,20
Human League,8,1
Johnny Crawford,8,8
Janet,8,1
Jerry Reed,8,8
Jefferson Airplane,8,5
Johnnie Ray,8,2
Joan Baez,8,3
Jamie Foxx,8,2
Jesse McCartney,8,10
Jim Stafford,8,3
Jessica Simpson,8,3
Johnny Horton,8,1
John Lennon,15,1
James & Bobby Purify,8,6
Immature,8,5
Green Day,8,2
James Darren,8,3
Fireballs,8,9
Dinah Shore,8,12
Eric Burdon & The Animals,8,9
Duprees,8,7
Dobie Gray,8,5
Dovells,8,2
Gene McDaniels,8,3
Eve,8,2
Donna Fargo,8,5
Dino,8,6
DJ Jazzy Jeff & The Fresh Prince,8,4
Parliament-Funkadelic,13,15
Crosby, Stills and Nash,13
Dick & DeeDee,8,2
Buddy Miles & The Freedom Express,8,62
Cypress Hill,8,19
Chad & Jeremy,8,15
Da Brat,8,6
Bruce Hornsby & The Range,8,1
Charlie Daniels Band,8,3
Crystals,8,1
Cinderella,8,12
Champs,8,1
Deep Purple,8,4
Cheech & Chong,8,9
Chris Young,8,33
Cowsills,8,2
Bone Thugs-N-Harmony,8,1
Betty Everett,8,6
Bangles,8,1
Avant,8,13
Bobbie Gentry,8,1
10,000 Maniacs,8
Band Perry,8,14
The B-52's,8,3
Bay City Rollers,8,1
Babys,8,13
Andy Gibb,8,1
Al Hirt,8,4
Ace of Base,8,1
Al Jarreau,8,15
Band,8,25
