,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score,In_Out
0,Whitney Houston,0.0,10,0,35.0,58.5,1.0,44.0,1.0,2.0,3.34,0
1,Foreigner,0.0,16,0,10.0,37.5,0.0,22.0,1.0,0.0,3.33,0
2,Phil Collins,0.0,12,0,10.0,33.5,0.0,27.0,1.0,2.0,3.69,0
3,Willie Nelson,0.0,32,0,19.0,31.5,2.0,10.0,5.0,1.0,3.37,0
4,Boston,0.0,17,0,13.0,31.0,0.0,10.0,1.0,0.0,3.17,0
5,Ozzy Osbourne,0.0,14,0,14.0,27.25,0.0,5.0,8.0,4.0,3.59,0
6,Motley Crue,0.0,13,0,15.0,25.0,0.0,13.0,6.0,2.0,3.44,0
7,The Carpenters,0.0,25,0,10.0,24.5,1.0,28.0,1.0,1.0,3.23,0
8,The Doobie Brothers,0.0,23,0,10.0,22.0,0.0,27.0,1.0,1.0,3.32,0
9,Smashing Pumpkins,0.0,3,0,15.0,19.75,1.0,8.0,12.0,3.0,3.78,0
10,The Monkees,0.0,28,0,11.0,18.0,0.0,21.0,1.0,0.0,3.54,0
11,Sting,0.0,11,1,16.0,18.0,0.0,18.0,1.0,6.0,3.54,0
12,Styx,0.0,21,0,13.0,17.5,0.0,23.0,1.0,0.0,3.06,0
13,Stone Temple Pilots,0.0,1,0,6.0,17.5,0.0,1.0,78.0,1.0,3.63,0
14,Bad Company,0.0,20,0,15.0,15.5,0.0,17.0,5.0,1.0,2.77,0
15,Kansas,0.0,19,0,10.0,15.5,0.0,14.0,6.0,0.0,3.07,0
16,George Michael,0.0,7,0,19.0,15.0,1.0,18.0,1.0,1.0,3.44,0
17,INXS,0.0,14,0,15.0,15.0,0.0,18.0,1.0,0.0,2.91,0
18,Carole King,0.0,35,1,23.0,14.5,1.0,18.0,1.0,0.0,2.85,0
19,Cher,0.0,28,0,7.0,12.5,0.0,51.0,1.0,0.0,2.86,0
20,Alice In Chains,0.0,3,0,19.0,12.5,0.0,1.0,92.0,1.0,3.75,0
21,Pat Benatar,0.0,15,0,11.0,12.5,0.0,17.0,5.0,1.0,3.09,0
22,Duran Duran,0.0,13,0,22.0,12.0,0.0,21.0,1.0,2.0,2.79,0
23,Jethro Tull,0.0,26,0,15.0,11.0,1.0,7.0,11.0,1.0,2.98,0
24,Barry White,0.0,21,0,13.0,11.0,1.0,15.0,1.0,0.0,3.3,0
25,Nine Inch Nails,0.0,5,2,30.0,10.5,1.0,8.0,17.0,3.0,3.79,0
26,Scorpions,0.0,21,0,10.0,10.5,0.0,6.0,4.0,0.0,3.38,0
27,Depeche Mode,0.0,13,2,120.0,10.5,1.0,18.0,8.0,0.0,3.93,0
28,Peter Frampton,0.0,21,0,6.0,10.0,0.0,8.0,2.0,3.0,3.03,0
29,Tina Turner,0.0,20,0,19.0,10.0,0.0,17.0,1.0,7.0,3.0,0
